,sentence,sentiment
2117,up so early for graduation,1
2118,did you bring us all back some swine flu,1
2119,my nano fell on the floor and the screen got scratched,0
2120,more the flying gorillas in my case,1
2121,oh boo i m sorry i shoulda said something earlier,0
2122,yes i am one of those wierdos that only get on twitter around midnight deal with it and don t judge me,0
2123,two guys came in the bathroom while i was in there alone taking a shower not cool did not feel safe with just a curtain separating us,0
2124,my code hasn t turned up yet,0
2125,it was for vip only basically told me and brian we werent good enough to go in lol,0
2126,has had a good coupla days i couldn t ask for a better best friend and boyfriend,1
2127,praying for the family of the air france passengers,0
2128,i m so scared my arms feet and chest will burn or tan i want some sort of servant to walk around behind me with an umbrella to shade me,0
2129,chemistry hardly provides us a concrete answer for even such a simple question,0
2130,oh i is dubbed breesaholic insomniac feels special oh must add third angel drink to post,1
2131,i feel really bad for those gosselin kids they know whats going on amp it just makes my heart sick,0
2132,haha they want me to play spin the bottle their stupid gonna jam to instead,1
2133,i m thinking about joining a burlesque troupe i hope they take me,1
2134,a full day with my baby today but he s flying tomorrow morning,0
2135,ooh i do that on the black amp white curb thing yay i m not the only crazy one,1
2136,none probably just go to walmart and that s about it lame o,0
2137,i lost my flash drive i am so irritated with myself my novel is on it,0
2138,good mornin,1
2139,it sucks i think it was all reserved to hollywood vip i ll keep both eyes open to promos and stuff and undented of course,1
2140,where are all my favorite tweeters,0
2141,i m in on a saturday alone getting ready to watch a movie too how was my bloody valentine,1
2142,sun is still shining in tring let s hope it carries on so i can chill outside for a bit after working,1
2143,watching the ring i am soooooo scared right now,0
2144,i m sad to see the real housewives of new jersey end it was almost as good as atlanta,0
2145,to get the play list to show on your channel you have to enable it under channel design does that help,1
2146,awww its so lil and cute btw ur nails are cute in this pic,1
2147,last sleepover with one of my very best friends veronica forbes i knew this day would come she s off to long island in the morning,0
2148,i can t believe the spurs just malik d,0
2149,itunes store don t tease me i wanna buy a movie quot unknown errors quot aren t helpful,0
2150,yes but our house is not in a rentable condition an having worked for not much the church couple of yrs can t afford to,0
2151,virgin america has wifi v atlantic not via,0
2152,you never answered my dm about my sister,0
2153,thank you much i m glad you like it i m going to update it soon,1
2154,feeling pretty nice today going to meet a friend for a walk along the best beach in the world drewvis practice and band practice later,1
2155,oh we are near the sawgrass mills mall area,1
2156,i had to do sooo much today and i did absolutely nothing haha and now its pm and i still havent done anything godbless,1
2157,dancin amp gettin ready to go out,1
2158,cause people are tuning out asot,0
2159,finaaaally home doen my cheat sheet for my health final then we outs to ripon nightchaaall,1
2160,i need your dior glasses back lol i miss them i dont feel whole without them this summer,0
2161,waving you wanna come get diablo he barked so much til he made himself sick,0
2162,i just chatted u not sure if u got it but its a no go for me,0
2163,talkin to my friend in la she is so homesick already and she has only been there for days haha,0
2164,ive had some food now i have the sneezies lol,0
2165,i love you sooo much you re everything to me,1
2166,louis luzi seitter had a great weekend sorry to see it end,0
2167,you dont want to go to heave because you re a pussy who hates responsibility for your acts i can go because i deserve it,1
2168,ok so i know i say it every sunday but i am so not ready for tomorrow to be monday d wish i could spend more time with my family,0
2169,but then they limit the sentence we re gonna write it ruins as i can say the excitement of the users lol,1
2170,tell me about it all i can see is blue sky not fair,0
2171,i cant find episode one from season do you know where to find it,1
2172,and of course the iphone tethering trick doesn t work with st gen phones i hope my copy of netshare still works,0
2173,are you from nyc i lived in brooklyn,1
2174,hahaaa thanks managed to work my way out of it and got an extension p lol dw ibreckon we could totally do mtv awards,1
2175,watching old times cartoons xd is so nice to remember these times im feeling old s duh im just yo,0
2176,working lately on building my web will appreciate any help or comment,1
2177,cant figure out how to send direct messages from my phone i should have let this be untill after my exams,0
2178,miss my sister miss ashalyn miss my santa cruz family,0
2179,going to see again,1
2180,off to work another hour day i cant wait for tomorrow night soo excitedd lt you,0
2181,why aren t you coming to indonesia also pleeeease come to indonesia sometime,1
2182,exactly and now i m depressed all of this relationship talk is driving me to ice cream livin the single life,0
2183,new week new adventures,1
2184,our little boy s severe eczema was greatly improved with vidazorb probiotics they r grt our whole fam is on them now,1
2185,aw well that s not good it s always the kids that suffer,0
2186,just learned that the girl who was shot in iran during the riots that had her death on film was named neda god bless her,0
2187,ok great i speak very well italian and do you like france when do you come,1
2188,hanging out with my best friend for the first time in forever csi ny marathon,1
2189,getting ready for tomorrow s peace mural unveiling at mount vernon school no mayor but newark s edu commissioner s coming,0
2190,lol sounds like me today although lost my dyeing mojo now,0
2191,i have died soooo many times on this one queer level,0
2192,getting ready go work,0
2193,all i dream about ,1
2194,seeing the movie up,1
2195,just got soaked by a car goin through a puddle while i was standin at bus stop all wet x,0
2196,now i only hope i didn t accidentally delete any of my actual friends buddies you all know who you are lt,1
2197,kittencam is stalled for me anyone else having probs,0
2198,what the night crew me accomplished cross body bags that will be available for purchase thursday night,1
2199,thermos filled with hot lemon and honey water gloves on and ready to go to uni movies to see wolverine yippee,1
2200,weird mood like im worrying about something i dont know what it is yet i just got a bad feeling for some reason,0
2201,i m here where are you,1
2202,about to head off to the footy carn the pies,1
2203,app store auch das heutige facebook update bringt keine push notification integration,0
2204,hi you answered all my friends today can you say hi to me too,1
2205,i love my babyyyy amp you to lucy,1
2206,is trying to figure out why she gets tired of guys after a month,0
2207,quot dog s life quot story about a tiny dog which has to wear gaylord shirts,1
2208,not so good weekend even mango tastes with some chemical flavour,0
2209,i have a new appreciation for the game of quot quarters quot pizza has never tasted soooooo good,1
2210,i m cheering for the safs,1
2211,just got home yay lunch,1
2212,no problemo boo i m going today so expect it soon,1
2213,hahah my move here is temporary cause its free rent but my heart is in silverlake so lets hang sooon,0
2214,i ve camp orientation on saturday so friday s good,1
2215,demi you should of had nerves to go up and say hi you new people everyday it wouldnt be any different,1
2216,liking quot karena dia quot by the banery,1
2217,ughhhhh i feel sick if ur a girl u know wat im talking bout ughh,0
2218,it takes me to the page but the pic won t load all i can see is the small preview oh well,0
2219,ugh in palm springs and they don t air you guys,0
2220,tired coughing sneezing headache runny nose itchy red eyes cold then hot stomach ache why now why ever i hate feeling sick,0
2221,in like a day its gonna get bigger but i m at least trying to have it smaller,1
2222,new logo i m putting them all on a disc you,1
2223,that taco time tostado song always gets stuck in my head,0
2224,i love free mimosas,1
2225,holy crap i just finished an mg book with that exact premise,1
2226,tease,1
2227,i m so tired but i don t want to go to sleep,0
2228,thinking of going to bed bc i have work tomorrow at,0
2229,well techinically it is a homage not an homage because homage is not a vowel fact wooop me i learnt sumik in skool x,1
2230,prague this thursday,1
2231,currently editing uhh oh yeah moron test i finally beat it,1
2232,bbc news air france seats and debris now found and confimed now by the air force,0
2233,sending blessings your way in gratitude for quot amazing quot followfriday mention,1
2234,it cut off my thank you thank you thank you thank you thank you thank you thank you thank you thank you thank you thank you,0
2235,i got a new fountain pen and i rather like it,1
2236,miss barqy but dunno him wish he miss me too goodluck ur classmeeting boy also goodluck my class wish you win,1
2237,oooh tequila you get me every time i foresee major dehydration in my future if i opt to go to the beach like planned,0
2238,please save some sun for when i m done with exams,0
2239,hmm do what about womens love money and health,1
2240,the most awesomest day of the year happy bday princess again,1
2241,just coped dat red faction pow imma never be productive again lmao,0
2242,while you re doing nothing i m doing something,1
2243,yeah nope,0
2244,haha preach it haha i m not mad,1
2245,i dont wanna go to work tonight,0
2246,just an xsi but i really like the mm lens i can only hope to take the same pics as others,0
2247,is so very unhappy right now food makes everything better,0
2248,kissing both of your hands have a great day,1
2249,no hour coma today i had a nightmare that shook me awake,0
2250,my funny third fingernail always grows out extra pointy time to trim it again,0
2251,worm bin get it now ballard booming worm bin we are moving and can t take it with us come amp get it,0
2252,boston i would swoon and be happy,0
2253,destiny s then project let s go,1
2254,urghh parents can be soooo annoying whatever at pm gossip girl and after that lt,0
2255,i dunno but it wasn t cream soda,0
2256,at this moment in time i am having new windows fixed and job hunting wanna sunbathe though,0
2257,my tweet should i feel proud of me xd hahaha,1
2258,r u really scared of me if yes den gud i succeded yay,1
2259,update did nothing for my ghetto iphone,0
2260,hope the op went ok my dad had a similar op weeks ago and he didn t sleep for the first couple of nights fine now though,1
2261,aww i was supposed to go with you but i have my board exam today on a friday jealous but glad you had fun partz,0
2262,lol didn t you realise us tasmanians were crazy before you boarded the plane welcome to undern,1
2263,going back to la it is our last week for filming,1
2264,have followers w t probably all seo spammers though bah,0
2265,just finished making a new set of brown shaded needle felted ball beads no pics though cause camera batteries are dead,0
2266,girl don t wanna think about a cruise with all this water around me lol under flood warning,0
2267,sure what time heading to uni first to print etc,1
2268,some lucky bastard has a holiday in weeks and that bastard aint me,0
2269,it s am and isn t here yet,1
2270,wow can t wait for this weekend birthday party and an anniversary oh don t forget more tickets to purchase y,1
2271,want you back have you heard the quot chew fu big room fix quot version its amazing probably on youtube,1
2272,it sure was yum,1
2273,roflmao omg just checked our your vlog you are the biggest dork ever but i love ya man i do,1
2274,why does it bother me it shouldn t be that important but its irritating me and i need to figure out how to fix it if thats even possible,0
2275,sad right now maybe i do have a heart and emotions nah,0
2276,well u can move to bama ill be waitin,1
2277,awwww i m sorry bout prom bisante,0
2278,daisy cutter is my fav song on uplifted so far anyone else get it if so which is yours,1
2279,is shitting bricks about her exam later bad times wish me luck,0
2280,packing is so much fun i ll be doing that mon so i feel ya have a good trip,1
2281,t i h new song,1
2282,i just got rickrolled by comedy central while watching a taped daily show episode,0
2283,actually it s accepted slang in many circles,1
2284,on the train to work only a hour shift and i m in the mood for work,0
2285,squarespace my iphone hates me please give me a new one p s i lost all my phone number,0
2286,thanks all most of us care about are the cutest boys ever from boston,1
2287,photo let me know if you wanna buy knives that can cut through pennies i m a cutco rep,1
2288,i doooo love you i had class tonight,0
2289,just had the most painful wax job in a long time innn soooo muchhh painnnnn,0
2290,good look ty woods is dope i m listening now,1
2291,i think my doggy s mad at me,0
2292,happy moving in today,1
2293,good dinner spicy noodles are the best skating was good today tre flips quot let me take your coat and your keys and this car quot,1
2294,is not ready to go back to work,0
2295,no one is talking to me,0
2296,has found out cam g from twilight is a daddy his gf dominque gave birth to a little girl on tuesday congradulations cam,1
2297,oh thanks so much i didnt know what it was for but your always so fun i had to vote,1
2298,i think that s the best plan just let me know when you launch and i ll make sure you re featured,1
2299,tnx for props cant always see them vi quot ooh aah aah ooh precious moments quot quot quot ,0
2300,got a few jeans fly buttons that need doing when you re done with sequins,1
2301,lol oh dear,1
2302,bumpin music thinkin about myy keyy her sk broke s ihavent tlk her alldayy,0
2303,woah yeah you know i love crepes,1
2304,i love pf changs their lettuce wraps are great i just feel so upset that i trusted these were vegan based on many sources,0
2305,they re going alright xcept geographics amp biolgy and no still one year highschool and then probably college or uni you,0
2306,thanks lady i know you think of him often too so i send strength your way as well we love you too,0
2307,dunno but i ve gen not been happy w vista when i ve used it i do recom trying a mac once you go mac you don t go back,1
2308,i m a font freak just ordered the typographic desk reference see can t wait,1
2309,any one else looking forward to wimbledon this year high hopes on murry again though i hope to see nadal do well again he seems nicer,1
2310,wooooo running around in an attempt to play tennis is invigorating,1
2311,glad i cheered you up it s still all true but you feel bad again i ll have to work on turnin that frown upside down,0
2312,tournament almost donee congratulations to those who got place,1
2313,that meetup was last night i forgot to add it my calender,0
2314,ok this flu has decided to start migrating around my body it s gone to my chest now gt lt cough cough,0
2315,her mom took away her texting amp calling i think i put links lol do you have a myspace,1
2316,that was so disappointing,0
2317,dreamed about hilbert sixth problem lot of fun,1
2318,been in bed all day trying to shake a cold bahhh i don t like being sick didn t get to the united concert either,0
2319,david we re from the philippines and my friends miss you please come back i missed the concert can you do it again,0
2320,general consensus is diversity to win i think i d be happy with them or flawless,1
2321,it s am i think kyle should go on blogtv tomorrow,0
2322,broadcasting jersey shore catholic radio at,1
2323,good for you me still waiting to be shown here,0
2324,bout to have breakfast didnt do too good at the gym today was still too tired from basketball last night will go again later,0
2325,i get told constantly that i look just likeher,1
2326,ive seen it its rlly good n rlly sad but then rlly happy,1
2327,ok ok now you re giving me skill set envy,1
2328,i really love dropbox for online storage if you re not using it check it out it s free,1
2329,waiting for liverpool vs newcastle to start,1
2330,we the kings owns your face live up to it,1
2331,training love my crew,1
2332,thats nice wish i would find someone like that too lol,1
2333,eating wendys late nite snack iguess,1
2334,looonnnggg day everything went well tho happy about that now i have a headache,0
2335,kings island in the morning,1
2336,the internet doesn t really love you you know,1
2337,stepupforms on this sunday support a good cause by sponsoring yours truly,1
2338,i still cannot get on pandq it s not working on my computer some weird reason,0
2339,jesus the heavy rotation tour is almost starting and portugal time days wiii so happy lt,1
2340,my selfish dogs didn t get me anything for mother s day,0
2341,haha ok ill prolly have to meet you out there tomorrow i have to wait for my check,0
2342,it just kidding hope you ll believe in me lor give u a happy smile wish you ll happy today although it s damn hot q____q,1
2343,she keeps them away from you right,1
2344,my policy is to thank em with if they are real people with mostly non commercial content otherwise no your mileage may vary,1
2345,watchin trust music video keyshia n monica nice song i heart monica,1
2346,you look simply beautiful,1
2347,kfc but it s not free,0
2348,following people now and only have followers bummer,0
2349,yes it was nice and i have been at places that were a lot slower so they are trying hard and only per main as well,1
2350,yep u know uncle just handed me a glass over tomato juice it s suppose help my head it s so nasty tho,0
2351,i wish mark was here,0
2352,wooo another nice day,1
2353,back to ur,1
2354,my freakin tummy hurts,0
2355,that was taken within the past fortnight about km from here just a bit on the chilly side eh,1
2356,last one month due to summer strawberry is not availble in the chennai markets,0
2357,omg why wats going on people,0
2358,my girlfriend made herself a twitter just now so yeah another way to contact her amp yet that reminds me again of how i still cant see her,0
2359,hey mile s i thinkk someone wants you to come to mexico vv justa guess,1
2360,i d love to get your feedback on a cashflow forecasting web app from nz regards,1
2361,my mom just made me put vinegar on my sunburn because it s still dark red i smell like a salad now,0
2362,damn apple for teasing that itunes now supports iphone software ver,0
2363,awww doesn t work on iphone yet hurry up youtube,0
2364,breathe breathe in the air,1
2365,just had a chargilled chicken sandwich from chick fila tryna do the right thing sooo not good,0
2366,i m having such a bad day,0
2367,here s to hoping emme doesn t end up with quot road arm quot,1
2368,i want sims,1
2369,broke my twitter,0
2370,i dont want to go to work at have year olds be mean to me for seven hours,0
2371,damn the right side of my earphones just stopped working all of a sudden now i need to buy new ones,0
2372,in jersey w the fam i sure did miss them,1
2373,let it go breathe and and i wont have a peace of mind til i suck it up amp wait for a reply,0
2374,my blackberry is messed up cnt receive tx so im abt treat myself an i phone g bbl after i purchase it lata,0
2375,its been long went to a movie in theatre oru nalla padam edukka maatengranga in bangalore today thoranai ennatha solla,0
2376,walking around downtown with beautiful day for festival,1
2377,is american,1
2378,all i can drink from i am gonna be an alcoholic again lol,1
2379,you don t talk to me anymore bro what is that about all i have now is you and jayson,0
2380,sweet i love baker college of muskegon its just too bad that my credits arent going to transfer when i move,0
2381,i had to request it i was so confused about it the first time i thought doing it again might help it didn t,0
2382,uhg i think i have an ear infection wonderful,0
2383,just got done baking with kj and dani,1
2384,thought a was due on thursday turns out it was due today no no,0
2385,moving out the les final week in ny,0
2386,also i really can t understand why the ship isn t incredibly popular it is genius,0
2387,me too de lanjutkan haha,1
2388,my sister just got her clarinet yesterday now i can play flute with her yeahh but she still has take summer lessons,0
2389,be clearer in tweets told my friends france is scrapping nuclear i m going to look so stupid when they find out it was fake,0
2390,omg i hope it ain t the flu get well soon joe,0
2391,i m packing my bags we re visiting the province so nice to be back a ight,1
2392,the sold out stone soul festival on saturday june th,1
2393,oh i hate when dat happens or if u get drunk wake up late and da plans u had for da day u dnt wanna do shit lol awww thnks,1
2394,needs to think about starting revision for tomorrow lol,1
2395,is getting a blackberry storm that s the final decision and ohh got my shopping spree for this month haha so new shoes please xxx,1
2396,i know they re all over where u are kathy just heard they lost passenger keep praying,0
2397,and i have to do traffic again boooooo,0
2398,the blinking heating in work is on full blast the side of my face near to the radiator feels like it has been repeatedly smacked,0
2399,i got patron and some white girls,1
2400,daaam im sorry bout that ur right tho gotta k i m,0
2401,no i do not work there and i was actually doing work it was just self serving and had nothing to do with my job,1
2402,i lost it its gone,0
2403,crystal castles and sunshine the future is bright and tasty like tomatoes salsa salsa salsa,1
2404,leaves for memphis in days show is in weeks aahh and i got my new car envoy love it,1
2405,humph sulking,0
2406,sitting at home very bored x,0
2407,omg folding my laundry and matched all socks to its perfect pair good laundry folding day it is,1
2408,catch you in an hour brenda lets catch up,1
2409,omg i need to get outta the uk has posted pics of cannes amp its making me depressed being stuck in essaying,0
2410,dude just gave up k m points he didn t know that micheal phelps favorite nes game was zelda,1
2411,i m so lazy i m looking for some kind food under my bed its dirty down there no jokeee,1
2412,hellllllooooo ,1
2413,something s burning casey s cooking,1
2414,i wish my bed wasn t empty it d be nice to have someone in it with me,0
2415,i love me some had a wonderful walk now time to pick up sadie and head to the pool,1
2416,yeah i m loving it so far and i ve not used a single cheat which is unusual for me lol had my baby disappear though lol,0
2417,mmm coffee and pancakes sounds like breakfast of the champions,1
2418,i m already panicing about tomorrow oh fgs,0
2419,you are diginified in your silence stay strong xoxox,1
2420,listening capital fm summertime ball while playing on my psp,1
2421,boy nyou guys are really on quite the southeast tour,1
2422,no i never watch pap videos especially not videos like that one seeing the pics alone was enough i can imagine the rest,0
2423,dry skin sucks,0
2424,ohh watching a vid of pink from her im not dead tour and just realised she sang sweet dreams was better though,1
2425,wow i think the sandwich was bigger than milo lol looks mighty tasty,1
2426,thats my song for him,0
2427,what did i do to get blocked im deeply sorry for whatever it is i did,0
2428,thinks that kellan lutz is hot when he smokes,1
2429,two healthy baby boys were born today,1
2430,work was mad tonight,0
2431,i don t like the yfrog thingy can t see the pics from the bberry,0
2432,omg it is sad theyre trying to catch a bull by its things on their head wtf,0
2433,righteous kill is on the movie network right now,1
2434,militarymon lt wonder who founder s navy recruiter was nonprofits,1
2435,aww jack that makes me sad i am only slightly evil and i am taller than you,0
2436,tuesday sounds good to me,1
2437,there is a great verse about being beautifuly made in god s eyes,1
2438,grrr it s raining,0
2439,watching the basketball game go lakers go,1
2440,found a fortune cookie fortune today it said soon someone will make you very proud,1
2441,i want one too please,1
2442,about to install windows vista service pack it says it could take over one hour,0
2443,off for episodes of black amp white can t wait then i shall sleep another week of working tmrw boohoo,0
2444,a rain cloud following me how come it s only raining on my car and no one else,0
2445,yay old gg memories watching season episode,1
2446,stupid time to be up but i dont care,1
2447,i went to the gym to work on this sexy body ahha don t know whether i ll see your face tomorrow either i m a bit sick,0
2448,has been silent about it too,1
2449,why thank u very much,1
2450,listening to a hell of a lot of h o lately,1
2451,y u in a mood sexiest got up a while ago seems no one likes me anymore all cause im slightly diffrent,0
2452,nope nothing yet,0
2453,ha i wish that was the case i never have time for a good film anymore,0
2454,so i have to know was there a toy store on rodeo dr i hope your having fun,1
2455,my laptop was being used last night to watch movies,0
2456,watching my men and in twilight before i go to bed quot since i m going to hell quot half a minute,1
2457,coffee anyone,1
2458,ya i cnt wait well mista ill let u go to sleep have a buenas noches muchacho,1
2459,tower bloxx wont work on my phone,0
2460,we will have to continue this convo some other time for sure,1
2461,no i am not,0
2462,a long long weekend full of party and time together with my girlfriend good thing,1
2463,i really need more sleep at night i am falling asleep at my desk boo hoo,0
2464,yay whiskey,1
2465,i should really stop watching the dodgers and go to sleep it s,0
2466,predicament i have a ton of school work how do i tell my dad i don t have time to take the train down to see him for fathers day,0
2467,oh yeah i just got coke zero tickets i am like so excited,1
2468,i jus now realizd the majority of my clothes r missn wth,0
2469,wordless wednesday,1
2470,i may never leave this hotel is amazing we have had the best time gorgeous day too like i special ordered it,1
2471,home relaxxin excited about dis weeknd friday wit p ps amp lil sis then saturday wit da rest of the fam for my nephew st bday party,1
2472,lol i m too short,1
2473,needs to cool down just got back from shop,1
2474,awesome to see you around here jenn and i think billy mays would win that fight he owns the infomercial world,1
2475,oh btw happy b day,1
2476,had the wrong tweet selected sorry should have been to i ve since deleted and reposted,1
2477,i apologize if i accidentally unfollowed anyone i m having twissues,0
2478,at grandma s house bored,0
2479,well too bad for those peeps lol we love your tweets,1
2480,saw quot up quot again w the rents going to ac today,1
2481,happy father s day everyone i miss you daddy,0
2482,it s become apparent i ve become a bad twitterer i ve had like updates in the past week sorry all i m not worthy to be followed,0
2483,i have absolutely no interest in gaming but you make me laugh all the same so i thought why not subscribe haha,1
2484,just did a homemade pedicure looks just as got as a one at a shop thanks for your help babe,1
2485,a french vanilla capp sounds really good right now too bad i dont have one,0
2486,wants to watch transformers again now need to phone up bout my phone am i lucky enough to get gs,0
2487,idlethumbs or more seriously try shacknews com,1
2488,sweet i m so perfect for me,1
2489,damn this is fun screw the kids i want to ride some,1
2490,wow haven t updated on here in a while well let me catch up life is good the end,1
2491,going to nectec with tradic jammmm,0
2492,i recall you drinking as well so shut up i didn t even feel anything lol,0
2493,leaving for europe,1
2494,if you wannw learn lolittle french skills i m here,1
2495,flying back to germany today already miss home feels like i am going to cry until boarding time well see u tomorrow,1
2496,is going to to get ready for her doctors appointment will tweet when i get back to let you gys know how it went love you all xxxx,1
2497,looking forward to bing full days to go,1
2498,yeiiii so happy for u guys i pray for a safe trip have lots of fun ciao,1
2499,is happy tonight,1
2500,my fucking ear hurtsss d lt,0
2501,thanks for the reply going closer to my house in solana beach you should definitely put up a pic to promote yourself,1
2502,is looking for flights to sydney,1
2503,on my way to the market for the fresh pick of the day,1
2504,i ve broken my finger,0
2505,if long moustaches fill moustaches in pants,1
2506,lunch time having mixed fresh fruit and water staring at a sneakers bar,0
2507,o man i aint shyt lol please dnt put me on spaghetti timeout,0
2508,yo estudio mucho para el examen de espanol that probably is not right,0
2509,ihammock com boysandclubbing,0
2510,minutes til my birthdays over,0
2511,good times good times it looks like your friend didn t like us though decemberists,0
2512,thanks for the ddub pic,1
2513,looking at pictures of quynh i miss her sooooo much,0
2514,i for one welcome our new cyber criminal overlords,0
2515,aww thanks his new mom said she would contact you i hope she does,1
2516,so many work,1
2517,turkey why are the back up singers so far away and in less flashy red clothes i feel for them,0
2518,oooh not good exspecially with a hangover wow you re day isn t going very well,0
2519,baby please please dont leave me,0
2520,something is wrong i m up way too early,0
2521,lol i almost came over tonight but seen ur away love u,0
2522,mine just broke after i bought replacement brushes,0
2523,u kno ur my special lady,1
2524,is ignoring the critics review on the upcoming transformers,0
2525,doin some boring coding work,0
2526,watching grey s finale for the rd time in a week poor george,0
2527,awake funeral today saddddd,0
2528,anyone up this te of night the tweets have slowed down let me know ur out there and i ll follow u,0
2529,she wont answer what time were you guys planning on going,0
2530,oh yeah just a lil pony chilln in my backyard man up lil man you panzy i love you lil man,1
2531,i wish i was able to sleep in because of my work schedule my body is now trained to wake up at am no matter what,0
2532,nice to c ur tweets on twitter,1
2533,hate these am exams,0
2534,doing what my hand s finding do and loving it also looking back a great wknd filled w faith family amp friends amp building the house,1
2535,done with school school got finals next week tho and start football for the whole summer,0
2536,sorry you probably did better than you think,0
2537,you are so bad to me,0
2538,so excited that you are cutting such old songs can not wait for this album i m so greedy u just released an album lol,1
2539,awww thats bad but on the bright side it wont last forever i hope miss ya,0
2540,i m so sad my phone is damaged my aunt is a bitch,0
2541,i haven t even met himmm all i m saying is that he is really nice that s it,1
2542,taking life one day at a time,1
2543,i can t even do that not good,0
2544,is done with high school boom dont stop believing lt i love the class of,1
2545,sounds coolio,1
2546,woo hoo hope it s not an all day affair though ahah,1
2547,has been in bed all day still don t feel good,0
2548,i m a very persistent person but i m losing hope now an interview with u would have been great for rlw,0
2549,yeah i don t like the whole quot because i said so thing quot no no no,1
2550,hrmmm channels of directv but a middle seat for hrs,0
2551,lol ok but if you actually create that account i will love to follow it,1
2552,morning all what a lovely day,1
2553,serioussss o then what are you going to do let it close,0
2554,thank u thank u and thank u and i am proud be one of ur followers tweet me when ur in town next we ll do happy hour,1
2555,lol no it s just a long weekend p like friday monday tuesday did you survive the hurricane x,1
2556,why hath thy no triffids in hmv,0
2557,missing pigeon sex updates,0
2558,going to play pool tonight with work collegues should be a laugh but got wait untill as they dont finish work til then,0
2559,good wants more local music,1
2560,unfortunately i cant upgrade my account due to pc problems,0
2561,ffffffffffffffffffuuuuuuuuuuuudddddddddddgggggggeeeeeee ccccccrrrrrraaaaaapppp aaaaaaaaaaaaa hope i didn t mess everything up,0
2562,sammi i ll cry with you,0
2563,arahantship vs buddhahood a historical pt of contention i don t hold a view just want to free the mind of the taints,1
2564,oh no poor shaun i want to get mario carts im poor though gayy,0
2565,god is so good to me oh how i am being blessed,1
2566,i miss mike a lot brotherblues its weird having mom dad scottie justin and me all in one room without him,0
2567,i m sorry about that you will be missed,0
2568,i might sound a little ocd but i think you need to tile your background it only has that square patch of the purple with stars,1
2569,lol i hope it s worth it take pulls next time around and see if he says anything,1
2570,my husband had a most awesome bday party for my last night then had to report for jury duty this morning at am he s still not home,0
2571,my poor nose xx,0
2572,my bro being a total badass and or waiting for gravity to recommence nice free arms too spectacular,1
2573,of course you did wide open lol,1
2574,unfortunately i must ask did jewel write quot life uncommon quot or was it ghost written same goes for aerosmith with quot dream on quot phooey,0
2575,brian packed all my clothes for vacation so i have to wear my daisy dukes to gina eagle,0
2576,nice knitting work,1
2577,just got done with dinner can t w tell tuseday,1
2578,i love your music thanks jonas brothers,1
2579,hey body if you could stop feeling sick and having to pee so much i d appreciate it,1
2580,i think passing out means something is wrong bloodwork tomorrow,0
2581,coz i was really hungry and i m a starving college student and i know i always talk crap about mcdo but whatevs,0
2582,maybe an hour,1
2583,i told lisa how to get in touch with sandi i can t call anyone,0
2584,thank you sorry i didnt get to tune in really sorry,0
2585,audiobooks i listen to those while walking around evening walk,1
2586,pasta on the lunch menu as i forgot to bring lunch today i think i ll have it for dinner i could also use a nap but that won t happen,0
2587,i m working on a new drawing this time with colours,1
2588,busy week coming to an end hope i get a new car next week also hope my pep is better soon,0
2589,not feeling too good right now i got home from wrk and found my kitty passed away,0
2590,great minds next time don t delete just start new and save the old work you never know what u might find later,1
2591,they dont even understand themselves heads up alex is everything ok,1
2592,working till about then scrapbooking my life away,0
2593,i have that many haha,1
2594,just got back from being up and down the texas coast for our wedding anniversary didn t catch no fish though,0
2595,one more day of holidays,0
2596,sabby is over paaajamas had a fun day at the plaza with the bffs and ciara,1
2597,if you download the the victorv podcast off itunes number i think it has the whole video on there,1
2598,thanks lol my google phone is waaack i wish i had an iphone,0
2599,you look pretty sexy better then usual good work,1
2600,cuz ovaries are bitches,0
2601,i have a teen dream,1
2602,yes of course you get to choose,1
2603,a little bird told me it is some next level shit,1
2604,server is down i think can t get to my blogs to work there or even to the control panel,0
2605,finally ada jg nih twitter glad to c u mer n des,1
2606,is going home from work and planning on watching the dance india dance finale good night god bless you all,1
2607,lol they re not surprising,1
2608,still awake thanks to star trek novels being awesome reads shame that the next one is always so far away,0
2609,why are you not standing,0
2610,new comic released itself a few hours again,1
2611,ok i was gonna invite you tio joe and i are gonna go together to get our s guess not,0
2612,wasn t implying you were geeky blush,1
2613,i can t take my eyes off of you makes me happy,1
2614,well i m sure if you guys work hard and practice you could win one too,1
2615,going to orem to take my gma to lunch,1
2616,i m a jerk amp missed addisons b day party i have her presents though you going to be home today,0
2617,some annoying drunk guy keeps puttin on late or almost late bets putting obscure amounts on,0
2618,i missed driving my little element i love you buddy cute and dependable,1
2619,started learning latin today,1
2620,up at am to pick carson up from an th grade school trip to busch gardens what we do our kids,1
2621,oh thats sexy enjoy ya shower,1
2622,jen s coming today,1
2623,yeah its my birthday im so happy its am and im so tired i need some sleep im babysittin right now on my birthday sucks,0
2624,just came back from the park going to tan outside,1
2625,in really cool mugs with small asian men on them,1
2626,iran f ck the dictator,0
2627,asot odd transition anyone know when the video should be up,0
2628,planning shoot with nicola rocco everyones fav model on our site can see the sun outside,0
2629,sad story this morning i m going to see my mom today amp she s getting a bear hug,0
2630,remember even at the worst of the credit crunch you can still pay a compliment lt lt what a nice thought,1
2631,you never called amp annuh is here and i just left you a message amp tell you mom i say happy mothers day,0
2632,my new blades are lush can t wait to skate them,1
